Residus municipals. Generació. Total registrat i generació per càpita
Municipis. 2019
Unitats: Tones.
Font: Agència de Residus de Catalunya.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=resmc&n=6997&by=mun&t=201900
Codi,Literal,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva,Total
081069,Llinars del Vallès,1.61,3662.07,2182.95,5845.02,
170947,Llívia,2.06,756.00,308.36,1064.36,
430727,"Lloar, el",1.29,37.45,12.80,50.25,
251291,Llobera,1.36,57.76,35.26,93.02,
430733,Llorac,1.20,17.44,26.45,43.89,
430748,Llorenç del Penedès,1.63,693.42,733.79,1427.21,
170950,Lloret de Mar,2.57,24370.28,11608.84,35979.12,
170963,"Llosses, les",1.44,82.55,31.71,114.26,
081094,Lluçà,1.39,57.71,80.36,138.07,
171024,Maçanet de Cabrenys,1.99,143.05,357.35,500.40,
171030,Maçanet de la Selva,2.19,4229.24,1368.54,5597.78,
170979,Madremanya,2.21,96.34,132.16,228.50,
170985,Maià de Montcal,1.66,167.21,105.45,272.66,
251333,Maials,0.83,54.57,223.92,278.49,
251305,Maldà,1.38,71.69,39.39,111.08,
081108,Malgrat de Mar,2.10,7519.12,6749.43,14268.55,
081115,Malla,1.15,27.37,87.19,114.56,
081120,Manlleu,1.23,2746.42,6501.78,9248.20,
081136,Manresa,1.31,20165.00,17085.39,37250.39,
430764,Marçà,1.21,141.84,121.52,263.36,
430751,Margalef,1.48,27.54,24.81,52.35,
082423,Marganell,1.67,82.80,78.97,161.77,
081141,Martorell,1.20,5703.04,6615.71,12318.75,
081154,Martorelles,1.41,447.12,2023.82,2470.94,
430770,Mas de Barberans,1.00,102.15,109.20,211.35,
171002,Masarac,1.29,84.88,50.84,135.72,
430786,Masdenverge,1.36,245.47,284.52,529.99,
081167,"Masies de Roda, les",2.02,234.24,282.09,516.33,
081173,"Masies de Voltregà, les",1.32,553.17,959.15,1512.32,
430799,Masllorenç,1.45,129.17,138.24,267.41,
081189,"Masnou, el",1.39,6779.36,5168.69,11948.05,
430803,"Masó, la",0.81,26.82,54.66,81.48,
430810,Maspujols,0.91,160.13,114.82,274.95,
081192,Masquefa,1.79,3945.24,2084.69,6029.93,
430825,"Masroig, el",0.95,72.94,98.61,171.55,
251312,Massalcoreig,0.73,31.54,127.68,159.22,
171019,Massanes,1.63,301.81,152.00,453.81,
251327,Massoteres,1.63,80.37,49.19,129.56,
081206,Matadepera,1.50,400.10,4708.78,5108.88,
081213,Mataró,1.27,37481.04,21951.09,59432.13,
081228,Mediona,2.43,1332.29,727.83,2060.12,
251348,Menàrguens,0.86,128.10,124.57,252.67,
170998,Meranges,1.65,45.51,17.24,62.75,
171058,Mieres,1.54,106.25,72.07,178.32,
430831,"Milà, el",1.04,33.87,34.02,67.89,
251351,Miralcamp,1.00,255.37,239.11,494.48,
430846,Miravet,0.92,54.87,175.91,230.78,
081385,Moià,1.71,1533.24,2370.03,3903.27,
430859,"Molar, el",1.18,84.85,42.71,127.56,
081234,Molins de Rei,1.19,5464.81,5792.89,11257.70,
251370,Mollerussa,1.40,3936.72,3556.87,7493.59,
171061,Mollet de Peralada,1.84,69.66,57.55,127.21,
081249,Mollet del Vallès,1.14,13138.51,8282.10,21420.61,
171077,Molló,1.54,96.70,92.89,189.59,
251364,"Molsosa, la",1.30,32.29,18.57,50.86,
081287,Monistrol de Calders,1.49,237.98,132.77,370.75,
081271,Monistrol de Montserrat,1.13,928.04,328.09,1256.13,
171096,Montagut i Oix,1.76,289.82,297.22,587.04,
430862,Montblanc,1.42,1726.06,2077.34,3803.41,
430884,Montbrió del Camp,1.31,813.74,569.77,1383.51,
081252,Montcada i Reixac,1.29,8512.66,8573.80,17086.46,
081304,Montclar,0.85,18.56,23.81,42.37,
251399,Montellà i Martinet,1.60,274.87,64.13,339.00,
081311,Montesquiu,1.13,204.54,208.70,413.24,
251403,Montferrer i Castellbò,1.36,212.70,304.99,517.69,
430897,Montferri,1.50,132.45,78.76,211.21,
251386,Montgai,1.06,118.30,123.49,241.79,
081265,Montgat,1.11,2497.26,2395.42,4892.68,
081326,Montmajor,0.93,66.91,90.61,157.52,
081332,Montmaneu,2.13,29.79,86.84,116.63,
430901,"Montmell, el",2.35,908.78,390.73,1299.51,
